city,sights_count_5A_4A
铜陵,9
汤山,2
达古冰川风景区,1
万宁,2
汤旺河林海奇石风景区,1
西塘,1
五营国家森林公园,1
南京,14
正定,2
大别山景区,2
宝鸡,10
荔波,3
崀山风景名胜区,1
黄山风景区,3
南山文化旅游区,2
靖西,4
抚仙湖,1
龙潭大峡谷,1
四姑娘山,1
沙溪古镇,1
潮汕地区,6
鸡冠洞,1
齐云山景区,1
丹霞山,1
满洲里,1
龙虎山,1
北海,9
东江湖旅游区,1
大理市,5
贺州,9
庐山,5
五台山,1
岳阳,7
毕棚沟,1
西递,1
兴城,4
琼海,4
敦煌,3
莫干山,2
中卫,3
韶关,7
八里沟,2
本溪,14
临沂,16
六盘水,7
徐州,10
晋江,3
光雾山,2
怀化,8
吉林市,10
张家界,8
长沙,9
剑门关风景区,1
沈阳,12
张家口,12
龙岩,10
西江千户苗寨,1
北大湖滑雪度假区,1
西安,12
衡山风景名胜区,1
东戴河,1
长治,10
重渡沟风景区,1
青海湖,4
榆林,5
吉安,10
丽江,5
汉中,13
林芝,6
乌蒙大草原,1
南屏,1
海陵岛,1
五大连池风景区,1
临汾,10
恒山,1
兴义,6
昭苏,5
大觉山,1
麦积山风景名胜区,1
黔东南,10
太白山,1
防城港,6
都江堰,4
赤峰,6
清远,14
武功山,5
亚布力滑雪旅游度假区,1
洛阳,15
华山,1
衡阳,4
嘉峪关,5
平潭,2
韶山,1
无锡,13
珲春,1
白云山,3
千岛湖,1
陵水,5
潮州,5
弥勒,5
铜仁,7
南通,6
阆中古城,1
神农架,6
白石山景区,1
莽山,1
崇左,17
九华山,5
海螺沟,1
阿勒泰地区,8
明月山,2
新乡,7
盐城,12
许昌,6
长白山西坡,3
日照,8
周庄,1
哈密,6
开封,10
武当山,2
同里,1
石牛山风景区,1
桂林,12
赣州,18
大连,9
嵩山,2
锦州,12
信阳,9
湄洲岛,1
那拉提旅游风景区,1
西昌,4
淮安,16
百色,13
景洪,7
襄阳华侨城,1
甘南,8
龙脊梯田,1
兰州,3
乌镇,1
新安江山水画廊,1
苏州,12
黄果树,1
吐鲁番,6
梅里雪山,1
汕头,4
包头,7
威海,7
昆明,9
杭州,10
十堰,13
三亚亚龙湾旅游度假区,1
雁荡山,1
香格里拉,4
遵义,17
宏村,1
烟台,16
株洲,8
承德,15
台州,10
宜春,10
额济纳旗,6
台儿庄古城,2
广州长隆旅游度假区,1
宿迁,9
呼伦贝尔,12
太原,6
九寨沟,3
保定,11
额尔古纳,5
天津,13
北戴河,3
齐齐哈尔,7
泰山,2
湛江,6
扬州,8
伊宁市,3
伊犁,14
嵖岈山,1
成都,9
延安,9
德州,6
嘉兴,10
郑州,11
瑶里,1
宜昌,15
泉州,8
葫芦岛,10
晋城,12
襄阳,11
喀纳斯,1
自贡,6
南阳,14
惠州,7
巴马,5
长岛风景区,3
中山,4
宝泉旅游区,1
特克斯八卦城,1
舟山,5
鄂尔多斯,12
南靖土楼,3
巴松措,1
宁波,15
宣城,14
漠河,1
恩施大峡谷,1
五女山景区,1
喀什市,2
万峰林景区,2
香格里拉巴拉格宗景区,2
老君山,1
厦门,4
毕节,11
绍兴,12
青岛,10
西湖,2
福州,10
白马寺院,1
三明,10
咸阳,12
珠海,4
建水,5
扎尕那,1
东山岛,2
茂兰自然保护区,2
文昌,3
长白山,1
金华,7
荣成,3
济南,11
白洋淀,1
淄博,10
南澳岛,1
廊坊,3
长白山北坡,4
普陀山,1
延吉,2
王莽岭风景区,1
合肥,9
银川,12
东莞,7
石家庄,9
深圳,2
六安,16
三亚,9
和顺古镇,1
温州,9
青城山,2
常德,10
武夷山,3
重庆,19
云丘山景区,1
洱海,2
大同,8
平遥古城,1
南昌,9
永定土楼,2
东营,5
兴坪古镇,1
集安,3
可可托海风景区,1
涠洲岛,2
灵岩寺,1
雪乡,3
天柱山,3
伊春,9
南浔古镇,1
阳朔,3
丽水,11
荆州,8
景德镇,11
西宁,10
呼和浩特,8
九江,7
塞罕坝,1
阿尔山,3
安阳,7
塔什库尔干,2
拉萨,7
南宁,12
黄龙风景名胜区,1
天水,6
郴州,14
赛里木湖,1
漳州,7
莆田,5
潍坊,12
格尔木,4
上海,12
陇南,10
云台山,1
唐山,10
井冈山风景名胜区,1
海口,5
邯郸,10
洛阳白云山,1
上饶,15
歙县,3
天目湖,2
乌鲁木齐,7
三清山,3
西双版纳,10
牡丹江,8
峨眉山风景区,2
安顺,9
运城,13
普者黑风景区,1
安吉,8
镇江,10
查济,1
长春,9
乐山,7
湘西土家族苗族自治州,11
哈尔滨,11
贵阳,8
乌兰察布,8
曲阜,5
望仙谷,1
百里杜鹃风景区,2
易水湖,2
北京,14
腾冲,6
广州,14
柳州,16
溧阳,5
丹东,7
青州,6
宁德,6
佛山,9
普洱,6
庐山西海,4
芜湖,8
康百万庄园,1
宜兴,8
婺源,12
横店影视城,2
常州,11
郎木寺,1
鼓浪屿,1
稻城亚丁,1
安庆,13
秦皇岛,14
张掖,11
镇远古城,1
武汉,8
湖州,9
连云港,8
野三坡,2
